Protocol,Malicious-ness,Adaptivity,Mixed adv,# Corrupted,Adv Structures,Security level,Error,Fairness,Compos-ability,Leakage-secure,Assump level,Specific,Private channels,Broadcast,Setup Assump,Asynchro,Rounds,Complexity Level,Comm Preproc,Online Comp,Setup Comp,All or subset,Comp Model,Impl,Annotation
[GMW87]-semi,1,1,1,5,1,2,5,5,1,1,3,5,1,5,5,1,1,1,5,1,5,5,,,"The seminal result showing the possibility of secure computation among three or more parties, given that a majority of players is honest. Describes a ``protocol compiler'' for transforming protocols secure against semi-honest adversaries into protocols secure against malicious adversaries. Computational security."
[GMW87]-mal,5,1,1,3,1,2,5,5,1,1,3,5,1,1,5,1,1,1,5,1,5,5,,,"The seminal result showing the possibility of secure computation among three or more parties, given that a majority of players is honest. Describes a ``protocol compiler'' for transforming protocols secure against semi-honest adversaries into protocols secure against malicious adversaries. Computational security."
[BGW88]-semi,1,1,1,3,1,5,5,5,5,1,5,5,1,5,5,1,1,1,5,1,5,5,,,"The first result showing the possibility of information-theoretically secure multi-party computation. Proves that information-theoretically secure MPC requires strictly less than $n/2$ corrupted players if the adversary is semi-honest, or less than $n/3$ in the case of a malicious adversary."
[BGW88]-mal,5,1,1,2,1,5,5,5,5,1,5,5,1,5,5,1,1,1,5,1,5,5,,,"The first result showing the possibility of information-theoretically secure multi-party computation. Proves that information-theoretically secure MPC requires strictly less than $n/2$ corrupted players if the adversary is semi-honest, or less than $n/3$ in the case of a malicious adversary."
[RB89],5,1,1,3,1,5,3,5,1,1,5,5,1,1,5,1,1,1,5,1,5,5,,,"Gives an MPC protocol that is unconditionally secure in the presence of an honest majority, with exponentially small error, by assuming a broadcast channel. [BGW88] proved that with no error, the number of corrupted parties must be $< n/3$."
[BMR90],5,1,1,3,1,2,5,5,1,1,4,5,1,1,5,1,5,1,5,1,5,5,,,"Result showing that cryptographically-secure, multiparty computation is achievable in a constant number of rounds, if a broadcast channel is assumed. Important follow-up work on round complexity for MPC includes [KOS03], [DI05]."
[BCG93]-fs,2,1,1,2,1,5,5,4,1,1,5,5,1,5,5,5,1,1,5,1,5,5,,,"The foundational work in \emph{asynchronous} MPC, in which no messages are guaranteed to arrive in bounded time, thus preventing the round enforcement of standard MPC protocols. Shows that asynchronous MPC is possible for up to $n/3$ maliciously corrupted players."
[BCG93]-mal,5,1,1,1,1,5,5,5,1,1,5,5,1,5,5,5,1,1,5,1,5,5,,,"The foundational work in \emph{asynchronous} MPC, in which no messages are guaranteed to arrive in bounded time, thus preventing the round enforcement of standard MPC protocols. Shows that asynchronous MPC is possible for up to $n/3$ maliciously corrupted players."
[CFGN96],5,3,1,2,1,2,5,5,1,1,3,1,1,5,5,1,1,1,5,1,5,5,,,"First result showing security against an \emph{adaptive} adversary, which is able to dynamically choose which parties to corrupt in the course of the computation, based on its view.  A protocol is given which is secure against an adaptive adversary corrupting a minority of parties, without requiring that parties be trusted to delete their computation records. "
[CDD+99],5,3,1,3,5,5,3,5,1,1,5,5,1,1,5,1,1,1,5,1,5,5,,,"Shows that the protocol of [RB89] is not secure against adaptive adversaries, and gives a more efficient protocol that is unconditionally secure (with non-zero error probability) against up to $n/2$ adaptive adversaries, in the broadcast channel model. Can also be modified to support adversary structures."
[HM01],5,1,1,2,1,5,5,5,1,1,5,5,1,5,5,1,1,2,5,1,5,5,,,"Gives an unconditionally secure multi-party computation protocol which is also \emph{$t$-robust}, meaning that an adversary corrupting up to $t < n/3$ parties cannot corrupt the \emph{output} of the computation."
[GL02],5,1,1,5,1,2,5,2,4,1,3,5,1,5,5,1,1,1,5,1,,,,,"Overcomes known limits on the use of Byzantine agreement to emulate broadcast channels in MPC, by introducing a weaker version of fairness in which not all honest parties may receive the same output. The protocol achieves MPC with this security level with composability for a dishonest majority."
