Protocol,Malicious-ness,Adaptivity,Mixed adv,# Corrupted,Adv Structures,Security level,Error,Fairness,Compos-ability,Leakage-secure,Assump level,Specific,Private channels,Broadcast,Setup Assump,Asynchro,Rounds,Complexity Level,Comm Preproc,Online Comp,Setup Comp,Comp Model,Impl,Annotation
[GMW87]-semi,1,1,1,5,1,2,3,5,1,1,3,5,5,5,5,1,1,1,5,1,5,,n,
[GMW87]-mal,5,1,1,3,1,2,3,5,1,1,3,5,5,1,5,1,1,1,5,1,5,,n,
[BGW88]-semi,1,3,1,3,1,5,5,5,5,1,5,5,1,5,5,1,1,3,5,1,5,,n,
[BGW88]-mal,5,3,1,2,1,5,5,5,5,1,5,5,1,5,5,1,1,1,5,1,5,,n,
[RB89],5,1,1,3,1,4,3,5,1,1,5,5,1,1,5,1,1,1,5,1,5,,n,
[BMR90],5,1,1,3,1,2,3,5,1,1,4,5,5,1,5,1,5,1,5,1,5,,n,
[BCG93]-fs,2,1,1,2,1,5,5,4,1,1,5,5,1,5,5,5,1,1,5,1,5,,n,
[BCG93]-mal,5,1,1,1,1,5,5,5,1,1,5,5,1,5,5,5,1,1,5,1,5,,n,
[CFGN96],5,3,1,2,1,2,3,5,1,1,3,1,5,5,5,1,1,1,5,1,5,,n,
[CDD+99],5,3,1,3,5,4,3,5,1,1,5,5,1,1,5,1,1,1,5,1,5,,n,
[SR00a],5,3,1,1,1,5,5,5,3,1,5,5,1,5,5,5,3,1,5,1,5,,n,"Gives the first MPC protocols secure against a mobile adversary, who can corrupt different subsets of adversaries at each round."
[HM01],5,1,1,2,1,5,5,5,1,1,5,5,1,5,5,1,1,3,5,1,5,,n,
[CDN01],5,1,1,3,1,2,3,5,2,1,2,1,5,1,3,1,1,3,4,1,,a,n,
[DN03],5,3,1,3,1,2,3,5,5,1,2,1,5,1,3,1,1,3,4,1,,a,n,
[GL02],5,1,1,5,1,2,3,1,4,1,3,5,5,5,5,1,1,1,5,1,,,n,
[GL02]-cr,5,1,1,3,1,2,3,1,4,1,3,5,5,5,5,1,5,1,5,1,,,n,
[PSR02],5,3,1,1,1,5,5,5,3,1,5,5,1,5,5,5,3,1,5,1,5,,n,Efficiency improvement on [SR00a] for asynchronous MPC.
[CLOS02],5,3,1,5,1,2,3,2,5,1,3,5,1,1,1,5,1,1,5,,,,n,"Uses universal composability results of [Can00] to give the first two-party and multi-party protocols secure against up to n-1 adaptively and actively corrupted parties. Requires trusted setup of a ""common reference string""."
[FGMR02],5,1,1,3,1,5,5,4,1,1,5,5,1,5,5,1,1,1,5,1,,,n,
[Gol04]-n-1,5,1,1,5,1,2,3,2,1,1,3,5,5,1,5,1,1,1,5,1,,,n,
[Pass04],5,1,1,5,1,2,5,2,4,1,3,5,1,5,5,1,5,1,5,,,b,n,A protocol for universally composable secure MPC that preserves security under concurrent executions. This is the first protocol to achieve this for a dishonest majority without requiring setup assumptions such as a common reference string.
[BCNP04],5,3,1,5,1,2,3,2,5,1,3,5,5,5,3,1,5,1,5,,,,n,
[DI05],5,3,1,3,1,2,5,5,5,1,4,5,1,1,1,1,5,1,1,,,,n,
[BH06],5,3,1,3,1,4,3,5,1,1,5,5,1,1,5,1,1,3,5,1,5,a,n,
[BH07],5,3,5,1,1,5,5,5,3,1,5,5,1,5,5,5,3,1,5,1,5,,n,"A more efficient protocol for perfectly-secure asynchronous MPC with malicious, adaptive  adversaries. It achieves the optimal bound of up to n/4 corrupted players, and requires O(n^3) communication per multiplication."
[CEMY09],5,1,1,5,1,2,5,2,5,1,3,1,1,1,3,1,5,1,2,,,,n,"Gives universally composable protocols in the preprocessing model for constant-round multi-party computation, secure against an adversary corrupting an arbitrary number of parties. Provides fairness if there are less than n/2 corrupted parties."
[DO10],5,1,1,5,1,2,3,2,5,1,2,5,5,5,3,1,1,2,2,,,A,n,
[BDOZ11],5,3,1,5,1,2,3,2,5,1,3,5,5,5,3,1,1,2,2,,1,A,n,
[GS12],5,3,1,5,1,2,3,2,1,1,3,5,5,5,5,1,5,1,5,,,,n,
[BFO12],5,3,1,3,1,4,3,5,1,1,5,5,1,1,5,1,5,3,1,,,A,n,"A protocol providing unconditional security against a malicious adversary adaptively corrupting $t < n/2$ players, which matches the communication complexity of the semi-honest case."
[DPSZ12],5,3,1,5,1,2,3,2,5,1,3,1,5,5,3,1,1,5,2,,1,A,y,
[DKLMS12],4,3,1,5,1,2,3,2,5,1,3,1,5,5,3,1,1,5,2,,1,A,y,
[DKL+13],4,3,1,5,1,2,3,2,5,1,3,1,1,5,3,1,1,3,2,,1,y,y,"Efficiency improvements on [DPSZ12], particularly for covert adversaries."
[CHP13]-async,5,1,1,1,1,4,3,5,1,1,5,5,1,5,5,5,1,3,1,,,,n,"Gives the first amortized linear-communication asynchronous MPC protocols, for up to n/4  corrupted parties in the pure asynchronous model  with statistical security, and with perfect security in a hybrid setting with one synchronous round."
[CHP13]-hybsync,5,1,1,1,1,5,5,5,1,1,5,5,1,5,5,3,1,3,1,,,,n,"Gives the first amortized linear-communication asynchronous MPC protocols, for up to n/4  corrupted parties in the pure asynchronous model  with statistical security, and with perfect security in a hybrid setting with one synchronous round."
